 15.82	368990	368990	U	0	unclassified
 84.18	1962969	12	R	1	root
 84.15	1962383	2	R1	131567	  cellular organisms
 84.15	1962364	670	D	2	    Bacteria
 84.04	1959820	159	D1	1783272	      Terrabacteria group
 84.03	1959602	83	P	201174	        Actinobacteria
 84.03	1959517	2188	C	1760	          Actinobacteria
 83.93	1957229	1396	O	85007	            Corynebacteriales
 83.87	1955800	4352	F	1762	              Mycobacteriaceae
 83.68	1951378	1734895	G	1763	                Mycobacterium
  9.22	214982	135319	G1	77643	                  Mycobacterium tuberculosis complex
  3.31	77281	75709	S	1773	                    Mycobacterium tuberculosis
  0.02	450	145	S1	1765	                      Mycobacterium tuberculosis variant bovis
  0.01	301	276	S2	33892	                        Mycobacterium tuberculosis variant bovis BCG
  0.00	21	21	S3	998092	                          Mycobacterium tuberculosis variant bovis BCG str. ATCC 35743
  0.00	2	2	S3	717522	                          Mycobacterium tuberculosis variant bovis BCG str. Mexico
  0.00	1	1	S3	413996	                          Mycobacterium tuberculosis variant bovis BCG str. Moreau RDJ
  0.00	1	1	S3	561275	                          Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172
  0.00	4	4	S2	233413	                        Mycobacterium tuberculosis variant bovis AF2122/97
  0.01	222	19	S1	1306414	                      Mycobacterium tuberculosis EAI5
  0.01	203	203	S2	1310115	                        Mycobacterium tuberculosis EAI5/NITR206
  0.01	135	135	S1	115862	                      Mycobacterium tuberculosis variant caprae
  0.01	134	134	S1	1352573	                      Mycobacterium tuberculosis PanR0601
  0.00	72	18	S1	33894	                      Mycobacterium tuberculosis variant africanum
  0.00	54	54	S2	572418	                        Mycobacterium tuberculosis variant africanum GM041182
  0.00	53	53	S1	1334072	                      Mycobacterium tuberculosis TRS26
  0.00	51	51	S1	1346770	                      Mycobacterium tuberculosis PanR0407
  0.00	49	49	S1	659019	                      Mycobacterium tuberculosis W-148
  0.00	36	36	S1	1344043	                      Mycobacterium tuberculosis PanR0203
  0.00	22	22	S1	1341711	                      Mycobacterium tuberculosis PanR0202
  0.00	14	14	S1	1097669	                      Mycobacterium tuberculosis UT205
  0.00	14	14	S1	882099	                      Mycobacterium tuberculosis BTB05-552
  0.00	13	13	S1	1346787	                      Mycobacterium tuberculosis PanR0304
  0.00	11	11	S1	1346775	                      Mycobacterium tuberculosis PanR0401
  0.00	11	11	S1	1334070	                      Mycobacterium tuberculosis TRS24
  0.00	11	11	S1	1334050	                      Mycobacterium tuberculosis TRS4
  0.00	10	10	S1	1352571	                      Mycobacterium tuberculosis PanR0503
  0.00	9	9	S1	1452723	                      Mycobacterium tuberculosis 18b
  0.00	9	9	S1	1334065	                      Mycobacterium tuberculosis TRS19
  0.00	9	9	S1	1334052	                      Mycobacterium tuberculosis TRS6
  0.00	9	9	S1	443150	                      Mycobacterium tuberculosis CCDC5180
  0.00	8	1	S1	83332	                      Mycobacterium tuberculosis H37Rv
  0.00	7	7	S2	757421	                        Mycobacterium tuberculosis H37RvLP
  0.00	8	8	S1	83331	                      Mycobacterium tuberculosis CDC1551
  0.00	7	7	S1	1346776	                      Mycobacterium tuberculosis PanR0317
  0.00	7	7	S1	1334066	                      Mycobacterium tuberculosis TRS20
  0.00	7	7	S1	1334083	                      Mycobacterium tuberculosis 1821ADB44
  0.00	6	6	S1	1344047	                      Mycobacterium tuberculosis PanR0208
  0.00	6	6	S1	1334056	                      Mycobacterium tuberculosis TRS10
  0.00	5	5	S1	1346778	                      Mycobacterium tuberculosis PanR0315
  0.00	5	5	S1	1334067	                      Mycobacterium tuberculosis TRS21
  0.00	5	5	S1	1352596	                      Mycobacterium tuberculosis PanR0908
  0.00	5	5	S1	1334058	                      Mycobacterium tuberculosis TRS12
  0.00	5	5	S1	1334068	                      Mycobacterium tuberculosis TRS22
  0.00	5	5	S1	1334073	                      Mycobacterium tuberculosis TRS27
  0.00	5	5	S1	747368	                      Mycobacterium tuberculosis X122
  0.00	5	5	S1	1334075	                      Mycobacterium tuberculosis TRS29
  0.00	4	4	S1	1334057	                      Mycobacterium tuberculosis TRS11
  0.00	4	4	S1	1352574	                      Mycobacterium tuberculosis PanR0602
  0.00	4	4	S1	1334053	                      Mycobacterium tuberculosis TRS7
  0.00	4	4	S1	1334079	                      Mycobacterium tuberculosis 1821ADB38
  0.00	4	4	S1	1334061	                      Mycobacterium tuberculosis TRS15
  0.00	4	4	S1	1334062	                      Mycobacterium tuberculosis TRS16
  0.00	4	4	S1	1010835	                      Mycobacterium tuberculosis BT2
  0.00	3	3	S1	1352576	                      Mycobacterium tuberculosis PanR0604
  0.00	3	3	S1	747369	                      Mycobacterium tuberculosis R1207
  0.00	3	3	S1	1334071	                      Mycobacterium tuberculosis TRS25
  0.00	3	3	S1	336982	                      Mycobacterium tuberculosis F11
  0.00	3	3	S1	1346771	                      Mycobacterium tuberculosis PanR0405
  0.00	3	3	S1	1334084	                      Mycobacterium tuberculosis 1821ADB45
  0.00	3	3	S1	1346788	                      Mycobacterium tuberculosis PanR0301
  0.00	3	3	S1	1346786	                      Mycobacterium tuberculosis PanR0305
  0.00	3	3	S1	1346784	                      Mycobacterium tuberculosis PanR0307
  0.00	3	3	S1	652616	                      Mycobacterium tuberculosis str. Erdman = ATCC 35801
  0.00	3	3	S1	1352588	                      Mycobacterium tuberculosis PanR0803
  0.00	3	3	S1	1352587	                      Mycobacterium tuberculosis PanR0801
  0.00	3	3	S1	1445606	                      Mycobacterium tuberculosis str. Kurono
  0.00	3	3	S1	1334048	                      Mycobacterium tuberculosis TRS2
  0.00	3	3	S1	1352591	                      Mycobacterium tuberculosis PanR0902
  0.00	3	3	S1	1352599	                      Mycobacterium tuberculosis PanR1007
  0.00	3	3	S1	1352585	                      Mycobacterium tuberculosis PanR0707
  0.00	2	2	S1	1138877	                      Mycobacterium tuberculosis 7199-99
  0.00	2	2	S1	1344044	                      Mycobacterium tuberculosis PanR0205
  0.00	2	2	S1	1352600	                      Mycobacterium tuberculosis PanR1101
  0.00	2	2	S1	707235	                      Mycobacterium tuberculosis CTRI-2
  0.00	2	2	S1	1346765	                      Mycobacterium tuberculosis PanR0412
  0.00	2	2	S1	1346781	                      Mycobacterium tuberculosis PanR0311
  0.00	2	2	S1	1010836	                      Mycobacterium tuberculosis BT1
  0.00	2	2	S1	1346773	                      Mycobacterium tuberculosis PanR0403
  0.00	2	2	S1	1346774	                      Mycobacterium tuberculosis PanR0402
  0.00	2	2	S1	419947	                      Mycobacterium tuberculosis H37Ra
  0.00	2	2	S1	1352583	                      Mycobacterium tuberculosis PanR0702
  0.00	2	2	S1	1334064	                      Mycobacterium tuberculosis TRS18
  0.00	2	2	S1	1352577	                      Mycobacterium tuberculosis PanR0605
  0.00	2	2	S1	1352578	                      Mycobacterium tuberculosis PanR0606
  0.00	2	2	S1	1334059	                      Mycobacterium tuberculosis TRS13
  0.00	2	2	S1	1334055	                      Mycobacterium tuberculosis TRS9
  0.00	2	2	S1	1334082	                      Mycobacterium tuberculosis 1821ADB42
  0.00	2	2	S1	1334074	                      Mycobacterium tuberculosis TRS28
  0.00	2	2	S1	1334051	                      Mycobacterium tuberculosis TRS5
  0.00	2	2	S1	1334078	                      Mycobacterium tuberculosis 1821ADB37
  0.00	2	2	S1	1334081	                      Mycobacterium tuberculosis 1821ADB41
  0.00	1	1	S1	1346785	                      Mycobacterium tuberculosis PanR0306
  0.00	1	1	S1	1427516	                      Mycobacterium tuberculosis 49-02
  0.00	1	1	S1	1346783	                      Mycobacterium tuberculosis PanR0308
  0.00	1	1	S1	395095	                      Mycobacterium tuberculosis str. Haarlem
  0.00	1	1	S1	1352575	                      Mycobacterium tuberculosis PanR0603
  0.00	1	1	S1	1352586	                      Mycobacterium tuberculosis PanR0708
  0.00	1	1	S1	882098	                      Mycobacterium tuberculosis S96-129
  0.00	1	1	S1	1352572	                      Mycobacterium tuberculosis PanR0505
  0.00	1	1	S1	1346772	                      Mycobacterium tuberculosis PanR0404
  0.00	1	1	S1	1334076	                      Mycobacterium tuberculosis 1821ADB35
  0.00	1	1	S1	1334077	                      Mycobacterium tuberculosis 1821ADB36
  0.00	1	1	S1	478433	                      Mycobacterium tuberculosis KZN 4207
  0.00	1	1	S1	1334063	                      Mycobacterium tuberculosis TRS17
  0.00	1	1	S1	1346768	                      Mycobacterium tuberculosis PanR0409
  0.00	1	1	S1	1334054	                      Mycobacterium tuberculosis TRS8
  0.00	1	1	S1	1010834	                      Mycobacterium tuberculosis HKBS1
  0.00	1	1	S1	443149	                      Mycobacterium tuberculosis CCDC5079
  0.00	1	1	S1	663886	                      Mycobacterium tuberculosis KZN R506
  0.10	2382	890	S	78331	                    Mycobacterium canettii
  0.03	594	594	S1	1205677	                      Mycobacterium canettii CIPT 140070017
  0.02	528	528	S1	1205674	                      Mycobacterium canettii CIPT 140070010
  0.01	205	205	S1	1205675	                      Mycobacterium canettii CIPT 140070008
  0.00	100	100	S1	1048245	                      Mycobacterium canettii CIPT 140010059
  0.00	65	65	S1	1205676	                      Mycobacterium canettii CIPT 140060008
  0.01	256	256	S	398694	                  Mycobacterium shinjukuense
  0.01	246	26	G1	2249310	                  Mycobacterium simiae complex
  0.00	51	51	S	53376	                    Mycobacterium heidelbergense
  0.00	38	38	S	220927	                    Mycobacterium saskatchewanense
  0.00	37	37	S	1784	                    Mycobacterium simiae
  0.00	31	31	S	722731	                    Mycobacterium shigaense
  0.00	26	26	S	470076	                    Mycobacterium stomatepiae
  0.00	21	21	S	185642	                    Mycobacterium parmense
  0.00	16	16	S	292462	                    Mycobacterium florentinum
  0.01	181	44	G1	120793	                  Mycobacterium avium complex (MAC)
  0.00	46	29	S	1764	                    Mycobacterium avium
  0.00	13	13	S1	439334	                      Mycobacterium avium subsp. hominissuis
  0.00	4	4	S1	1770	                      Mycobacterium avium subsp. paratuberculosis
  0.00	41	41	S	560555	                    Mycobacterium mantenii
  0.00	16	0	S	339268	                    Mycobacterium colombiense
  0.00	16	16	S1	1041522	                      Mycobacterium colombiense CECT 3035
  0.00	13	13	S	701042	                    Mycobacterium marseillense
  0.00	11	11	S	64667	                    Mycobacterium lepraemurium
  0.00	5	5	S	222805	                    Mycobacterium chimaera
  0.00	4	2	S	1767	                    Mycobacterium intracellulare
  0.00	1	0	S1	35617	                      Mycobacterium intracellulare subsp. intracellulare
  0.00	1	1	S2	1232724	                        Mycobacterium intracellulare subsp. intracellulare MTCC 9506
